ANNEXURE XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(CHAPTER XIV, PARA 26.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAL RESULT SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTION TO THE LEGISLATIVE ASSEMBLY OF KARNATAKA FROM No. 158. Hebbal ASSEMBLY CONSTITUENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency/Segment : 210479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Polling Station No,Polling Station No,,,No Of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polling station name,polling station Location,Abdul Azeem,C.K. Abdul Rahman Sharief,R. Jagadeesh Kumar,Abdul Basheer,Dr. Prabhashankar,Fakruddin.S,C.Munikrishna,Vinod.M,M.Venkatesha,Sridhar Pabbisetty,Uma Lakshmi Narayan,Chand Pasha,S.K.Dhanaraj,Nagaraja Shetty,Nandimandalam Madhava Raju,M.Munihanumaiah,Mohammed Usman Sharieff,Manjunatha.A,M.Manjunath,R.Raghu,N.K.Ravikumar,Shabeer Pasha,Syed Mustafa,Harish,Total of valid votes,No. of rejected votes,Total,No. of tendered votes
35,158033A,033A,#N/A,#N/A,163,128,251,3,1,1,12,0,1,13,0,0,1,3,0,4,2,0,1,1,12,1,0,14,612,NIL,612,0
36,158034,34,Millenium Public English School  Nagashetty Halli Main Road  Room No 1,Sanjayanagar,145,107,152,3,1,1,21,2,2,38,1,1,2,3,0,6,1,2,0,0,5,0,2,1,496,NIL,496,0
37,158035,35,Millenium Public English School  Nagashety Halli Main Road  Room No 2,Sanjayanagar,185,173,197,3,0,0,19,1,1,17,4,1,0,0,0,1,0,0,0,0,10,1,0,5,618,NIL,618,0
38,158036,36,Millineum Public English School  Nagashetty Main Road  Room No 3,Sanjayanagar,83,118,196,0,2,2,9,0,1,24,2,0,0,4,2,7,1,0,1,0,6,1,1,1,461,NIL,461,0
39,158037,37,Millenium Public English School  Room No 4,Sanjayanagar,103,120,160,2,1,1,8,3,1,2,0,1,2,1,0,7,2,0,2,2,10,0,0,7,435,NIL,435,0
40,158038,38,Vidyashree Education Institute  Near Nagashettyhalli Bus Stand  Room No 2,Sanjayanagar,121,220,317,4,0,0,15,1,2,5,0,0,1,2,1,12,2,1,0,3,1,0,0,19,727,NIL,727,0
41,158039,39,Florance English High School  Maruthi Layout  Nagashtti Halli  Room No 1,Sanjayanagar,104,99,197,0,1,2,12,0,1,55,0,0,0,4,0,2,1,0,0,0,4,0,0,0,482,NIL,482,0
42,158040,40,Florance English High School  Maruthi Layout  Nagashtti Halli  Room No 2,Sanjayanagar,173,110,297,2,1,1,43,1,0,32,0,0,1,1,2,3,2,1,1,0,11,0,0,5,687,NIL,687,0
43,158041,41,Govt Gopalram Narayan Primary School Dollars Colony  Room No 1,Sanjayanagar,67,138,181,1,2,1,15,1,0,51,0,0,0,2,1,3,0,1,1,0,0,1,0,1,467,NIL,467,0
44,158042,42,Govt Gopalram Narayan Primary School Dollars Colony  Room No 2,Sanjayanagar,37,66,82,0,0,2,8,0,2,43,1,0,0,2,0,0,0,0,0,1,0,1,1,1,247,NIL,247,0
45,158043,43,Govt Gopalram Narayan Primary School Dollars Colony  Room No 3,Sanjayanagar,64,206,165,3,2,3,15,0,0,92,0,0,0,1,0,0,0,0,0,0,5,0,1,1,558,NIL,558,0
46,158044,44,Govt Gopalram Narayan Primary School Dollars Colony  Room No 4,Sanjayanagar,34,132,147,0,5,0,7,0,1,20,1,1,0,0,0,2,0,0,1,2,1,1,0,2,357,NIL,357,0
47,158045,45,Subhash Memorial English High School  Room No 1,Sanjayanagar ,343,148,138,1,2,9,9,2,2,20,0,3,0,2,0,6,11,1,1,0,0,0,1,29,728,NIL,728,0
